Hon. Ranndy Ramey,Chairman Wayne Township Republican Organization
Arthur Woods,Wood Dale Alderman Ward 2
Barry Ketter,DuPage Zoning Board of Appeals
Charles Donnelly,DuPage Airport Authority Commissioner
Chris Kachiroubas,DuPage Clerk of the Circuit Court
Chris Kain,Addison Township Assessor
Christine Winger,Wood Dale Alderman Ward 3
David J. Molitor,Milton Township Trustee
Don Holod,Addison Township Trustee
Donald Puchalski,DuPage County Board District 1
George Dunham,Village of Schaumburg Trustee
Gus Leventis,Addison Township Trustee
John Lawson,Schaumburg Township Assessor
John W. Valle,York Township Supervisor
Kathryn Durante,Addison Township Supervisor
Mark Nowak,Addison Township Trustee
Marsha Murphy,Dupage County Forest Preserve District 1
Matthew Lozich,Addison Township Trustee
Nanci L. Vanderweel,Elk Grove Township Supervisor
Pamela Joy Moretti,Addison Township Clerk
Richard Kaske,Addison Township Highway Commissioner
Robert Taglia,Villa Park Trustee
Sam Tornatore,DuPage County Board District 1
Sean T. Noonan,DuPage County Board District 2
