Indian American Republican Organization,"The 8th Congressional District is a critical race in 2014 and the IARO wanted to endorse a candidate who can win in November. Our board carefully considered each candidate's qualifications, viability and issue positions. In a unanimous decision, our board felt that Larry Kaifesh is the best choice in IL-8."
Palatine Township Republican Organization,"Members of the Palatine Township Republican Organization (PTRO) in Cook County voted to endorse Larry Kaifesh with 83% of the vote - the highest margin of any candidate, including Governor."
Combat Veterans for Congress,"The Combat Veterans For Congress PAC is endorsing the 89th Combat Veterans For Congress; he is a fiscally conservative candidate who will work to rein in the out of control spending by irresponsible members of Congress and the Obama administration, will work to reduce the national debt, and will work toward unleashing the private sector to grow once again, create jobs, and stimulate private sector business investment. He believes in an efficient government that serves the people and upholds the highest standards of integrity and transparency."
Allen West Guardian Fund,
Elgin Township Republican Organization,
Addison Township Republican Organization,
Barrington Township Republican Organization,
Wheeling Township Republican Organization,
Schaumburg Township Republican Organization,
Hanover Township Republican Organization,
Elk Grove Township Republican Organization,
Hanover Elects Responsive Officials (HERO),
